Topic,SourceWord,Lang1,Lang2,Word1,Word2,WordSimilarity,mean,std,z_score,OutlierType
personal qualities,delicate,nl,ro,dˌeːlikˈaːt,dˌelikˈat,1.000,0.298,0.282,2.488,Positive
personal qualities,normal,nl,ro,nɔrmˈaːl,normˈal,1.000,0.298,0.282,2.488,Positive
personal qualities,nervous,nl,ro,nˈɛrvøːs,nervˈos,1.000,0.298,0.282,2.488,Positive
personal qualities,local,nl,ro,loːkˈaːlə,lokˈale,1.000,0.298,0.282,2.488,Positive
personal qualities,steady,nl,ro,staːbˈil,stˈabil,1.000,0.298,0.282,2.488,Positive
personal qualities,intelligent,pl,NB,ˌintɛliɡˈɛntnɨ,ˈɪntəllˌiːɡɛnt,0.750,0.237,0.206,2.488,Positive
personal qualities,realistic,pl,NB,rˌɛalistˈɨtʃnɨ,rˈeːalˌɪstɪsk,0.750,0.237,0.206,2.488,Positive
personal qualities,patient,pl,NB,pˈatsjɛnt,pˈasiːˌɛnt,0.750,0.237,0.206,2.488,Positive
personal qualities,normal,pl,NB,nɔrmˈalnɨ,nˈɔrmal,0.750,0.237,0.206,2.488,Positive
personal qualities,paternalistic,pl,NB,pˌatɛrnˌalistˈɨtʃnɨ,pˈatarnˌalɪstˌɪsk,0.750,0.237,0.206,2.488,Positive
personal qualities,stable,pl,NB,stabʲˈilnɨ,stˈabiːl,0.750,0.237,0.206,2.488,Positive
personal qualities,stoic,pl,NB,stɔˈitski,stˈɔɪsk,0.750,0.237,0.206,2.488,Positive
driving,blanch,it,hu,blˈantʃ,blˈɑntsh,0.857,0.250,0.244,2.488,Positive
cooking,blanch,it,hu,blˈantʃ,blˈɑntsh,0.857,0.250,0.244,2.488,Positive
family,monogamy,en,da,mənˈɑːɡæmi,mˌʔonɒɡˈamˈʔi,0.875,0.292,0.234,2.488,Positive
clothes,elastic,PT-PT,da,ˌelˈaʃtikʊ,ˌʔelastˈʔik,0.875,0.258,0.248,2.488,Positive
emotions,pessimism,PT-PT,hu,pˌesimˈiʒmʊ,pˈɛssimizmuʃ,0.727,0.201,0.212,2.488,Positive
emotions,frustration,PT-PT,hu,fɹˌuʃtɹɐsˈɐ̃ʊ̃,frˈustraːtsioː,0.727,0.201,0.212,2.488,Positive
personal qualities,venal,es,da,benˈal,ʋˈʔenal,0.800,0.233,0.228,2.488,Positive
personal qualities,civil,es,da,θiβˈil,sʔiʋˈil,0.800,0.233,0.228,2.488,Positive
furniture,mattress,nl,hu,mˈɑtrɑs,mˈɑtrɑts,0.857,0.252,0.243,2.488,Positive
furniture,bergere,nl,hu,bərɣˈɪːrə,bˈɛrɡɛrɛ,0.857,0.252,0.243,2.488,Positive
furniture,vitrine,nl,hu,vɪtrˈinə,vˈitrin,0.857,0.252,0.243,2.488,Positive
shopping,label,de,it,ˌeːtiːkˈɛt,etikˈetːa,0.857,0.271,0.236,2.487,Positive
shopping,credit,de,it,kɾeːdˈɪt,krˈedito,0.857,0.271,0.236,2.487,Positive
personal qualities,analytical,PT-PT,da,ɐnɐlˈitikʊ,ˌanalˈytʔisɡ,0.778,0.232,0.220,2.487,Positive
personal qualities,dramatic,PT-PT,da,dɹɐmˈatikʊ,dʁɑmˈatʔisɡ,0.778,0.232,0.220,2.487,Positive
house,toilet,fr,pl,twalˈɛt,tˌɔalˈɛta,0.714,0.204,0.205,2.487,Positive
house,dormer,fr,pl,lykˈaʁn,lukˈarna,0.714,0.204,0.205,2.487,Positive
family,genealogy,es,pl,xˌeneˌaloxˈia,ɡˌɛnɛalˈɔɡja,0.900,0.265,0.255,2.487,Positive
driving,ferment,it,pl,fermˈento,fˈɛrmɛnt,0.875,0.275,0.241,2.487,Positive
cooking,ferment,it,pl,fermˈento,fˈɛrmɛnt,0.875,0.275,0.241,2.487,Positive
shoes,kamiks,PT-PT,ro,kɐ̃mˈikʃ,kamˈiks,1.000,0.389,0.246,2.487,Positive
shoes,mukluks,PT-PT,ro,muklˈukʃ,muklˈuks,1.000,0.389,0.246,2.487,Positive
family,family,it,da,famˈiʎa,famˈʔiljə,0.714,0.202,0.206,2.486,Positive
food,caviar,en,cs,kˈævɪˌɑːɹ,kˈaviaːr,1.000,0.332,0.269,2.486,Positive
food,picnic,en,cs,pˈɪknɪk,pˈikɲik,1.000,0.332,0.269,2.486,Positive
food,aspic,en,cs,ˈæspɪk,ˈaspik,1.000,0.332,0.269,2.486,Positive
food,pilaf,en,cs,pˈɪlæf,pˈilaf,1.000,0.332,0.269,2.486,Positive
food,spork,en,cs,spˈɔːɹk,spˈork,1.000,0.332,0.269,2.486,Positive
food,flan,en,cs,flˈæn,flˈan,1.000,0.332,0.269,2.486,Positive
food,juice,en,cs,dʒˈuːs,dʒˈus,1.000,0.332,0.269,2.486,Positive
food,broil,en,cs,bɹˈɔɪl,brˈoil,1.000,0.332,0.269,2.486,Positive
food,lychee,en,cs,lˈiːtʃiː,lˈitʃi,1.000,0.332,0.269,2.486,Positive
food,boysenberry,en,cs,bˈɔɪsənbˌɛɹi,bˈoisˌenberi,1.000,0.332,0.269,2.486,Positive
food,pan,en,cs,pˈæn,pˈan,1.000,0.332,0.269,2.486,Positive
food,anise,en,cs,ˈænɪs,ˈaniːs,1.000,0.332,0.269,2.486,Positive
school,intelligent,es,hu,ˌintelixˈɛnte,ˈintɛliɡɛnʃ,0.818,0.243,0.231,2.485,Positive
shoes,mukluks,de,ro,mˈʊkluːks,muklˈuks,1.000,0.298,0.283,2.485,Positive
shoes,flipflops,de,ro,flˈɪpfloːps,flipflˈops,1.000,0.298,0.283,2.485,Positive
shoes,kamiks,de,ro,kˈɑmɪks,kamˈiks,1.000,0.298,0.283,2.485,Positive
food,pasta,it,da,pˈasta,pˈasta,1.000,0.317,0.275,2.485,Positive
food,pizza,it,da,pˈitsːa,pˈʔitsa,1.000,0.317,0.275,2.485,Positive
food,tea,it,da,tˈɛ,tˈe,1.000,0.317,0.275,2.485,Positive
food,pomelo,it,da,pomˈɛlo,pˈomʔelˌʔo,1.000,0.317,0.275,2.485,Positive
food,durian,it,da,dˈurian,dˈʔuʁʔiˌan,1.000,0.317,0.275,2.485,Positive
food,sushi,it,da,sˈuʃɪ,sˈʔuʃʔi,1.000,0.317,0.275,2.485,Positive
food,granola,it,da,ɡranˈɔla,ɡʁˈɑnʔolˌa,1.000,0.317,0.275,2.485,Positive
food,tofu,it,da,tˈofʊ,tˈʔofʔu,1.000,0.317,0.275,2.485,Positive
food,hash,it,da,hˈaʃ,hˈaʃ,1.000,0.317,0.275,2.485,Positive
food,taco,it,da,tˈako,tˈakʔo,1.000,0.317,0.275,2.485,Positive
food,spaghetti,it,da,spaɡˈetːɪ,spaɡˈʔetʔi,1.000,0.317,0.275,2.485,Positive
food,pilaf,it,da,pˈilaf,pˈʔilaf,1.000,0.317,0.275,2.485,Positive
food,kiwi,it,da,kˈiwɪ,kˈʔiwʔi,1.000,0.317,0.275,2.485,Positive
food,oleo,it,da,olˈɛo,ˈoləʔo,1.000,0.317,0.275,2.485,Positive
food,salsa,it,da,sˈalsa,sˈalsa,1.000,0.317,0.275,2.485,Positive
food,strudel,it,da,strˈudel,stʁˈuðəl,1.000,0.317,0.275,2.485,Positive
food,avocado,it,da,avokˈado,ˈaʋʔokˌaðʔo,1.000,0.317,0.275,2.485,Positive
food,daikon,it,da,dˈaɪkon,dˈaʔikˌʔon,1.000,0.317,0.275,2.485,Positive
food,romaine,it,da,romˈaɪne,ʁˈʔomaˌʔinə,1.000,0.317,0.275,2.485,Positive
food,pineapple,it,da,anˈanas,ˈananˌas,1.000,0.317,0.275,2.485,Positive
food,taro,it,da,tˈaro,tˈɑʁʔo,1.000,0.317,0.275,2.485,Positive
transportations,runabout,it,da,rʊnabˈoʊt,ʁˈʔunaabˌʔoʔut,0.889,0.278,0.246,2.485,Positive
restaurant,vegan menu,cs,da,vˈeɡanskeː mˈenu,ʋʔeɡˈansk mʔenˈʔy,0.846,0.279,0.228,2.485,Positive
food,aspic,en,es,ˈæspɪk,aspˈik,1.000,0.325,0.272,2.484,Positive
food,pilaf,en,es,pˈɪlæf,pilˈaf,1.000,0.325,0.272,2.484,Positive
food,teriyaki,en,es,tˌɛɹɪjˈæki,tˌeɾiʝˈaki,1.000,0.325,0.272,2.484,Positive
food,salami,en,es,sɐlˈɑːmi,salˈami,1.000,0.325,0.272,2.484,Positive
food,spork,en,es,spˈɔːɹk,spˈoɾk,1.000,0.325,0.272,2.484,Positive
food,strudel,en,es,stɹˈuːdəl,stɾuðˈel,1.000,0.325,0.272,2.484,Positive
food,chips,en,es,tʃˈɪps,tʃˈips,1.000,0.325,0.272,2.484,Positive
food,kiwi,en,es,kˈiːwiː,kˈiwi,1.000,0.325,0.272,2.484,Positive
food,flan,en,es,flˈæn,flˈan,1.000,0.325,0.272,2.484,Positive
food,pan,en,es,pˈæn,pˈan,1.000,0.325,0.272,2.484,Positive
food,anise,en,es,ˈænɪs,anˈis,1.000,0.325,0.272,2.484,Positive
food,sushi,en,es,sˈuːʃi,sˈusi,1.000,0.325,0.272,2.484,Positive
food,fig,en,es,fˈɪɡ,fˈiɡ,1.000,0.325,0.272,2.484,Positive
food,lychee,en,es,lˈiːtʃiː,lˈitʃi,1.000,0.325,0.272,2.484,Positive
food,sandwich,en,es,sˈændwɪtʃ,sˈandwitʃ,1.000,0.325,0.272,2.484,Positive
food,dip,en,es,dˈɪp,dˈip,1.000,0.325,0.272,2.484,Positive
food,picnic,en,es,pˈɪknɪk,piknˈik,1.000,0.325,0.272,2.484,Positive
body,anatomy,cs,ro,ˈanatˌomije,ˌanatˈomje,0.889,0.245,0.259,2.484,Positive
shoes,zoris,ro,el,zoɾˈis,(en)zˈɔːɹɪs(el),1.000,0.352,0.261,2.484,Positive
shoes,kamiks,ro,el,kamˈiks,(en)kˈamɪks(el),1.000,0.352,0.261,2.484,Positive
school,test,nl,ro,tˈɛst,tˈest,1.000,0.301,0.282,2.484,Positive
school,atlas,nl,ro,ˈɑtlɑs,atlˈas,1.000,0.301,0.282,2.484,Positive
school,project,nl,ro,prˈoːjɛkt,projˈekt,1.000,0.301,0.282,2.484,Positive
school,hole punch,nl,ro,pˌɛrfoːrˈaːtɔr,pˌerfoɾatˈor,1.000,0.301,0.282,2.484,Positive
school,compass,nl,ro,kˈɔmpɑs,kompˈas,1.000,0.301,0.282,2.484,Positive
emotions,sarcastic,cs,da,sˈarkastˌitskeː,sɑkˈastʔisɡ,0.667,0.189,0.192,2.484,Positive
emotions,hysteria,cs,da,hˈisterˌije,hˌʔystʔʌʁˈʔi,0.667,0.189,0.192,2.484,Positive
emotions,shock,cs,da,ʃˈok,ʃˈʔʌk,0.667,0.189,0.192,2.484,Positive
family,nuptial,es,hu,nupθjˈal,nˈuptiɑl,0.857,0.218,0.257,2.484,Positive
desserts,baklava,PT-PT,pl,bˌɐklˈavɐ,baklˈava,1.000,0.339,0.266,2.484,Positive
desserts,flan,PT-PT,pl,flˈɐ̃ŋ,flˈan,1.000,0.339,0.266,2.484,Positive
desserts,bombe,PT-PT,pl,bˈombɐ,bˈɔmba,1.000,0.339,0.266,2.484,Positive
desserts,strudel,PT-PT,pl,stɹudˈɛl,strˈudɛl,1.000,0.339,0.266,2.484,Positive
desserts,ambrosia,PT-PT,pl,ˌɐ̃mbɹˈɔzjɐ,ambrˈɔzja,1.000,0.339,0.266,2.484,Positive
desserts,gelatin,PT-PT,pl,ʒˌelɐtˈinɐ,ʒˌɛlatˈɨna,1.000,0.339,0.266,2.484,Positive
personal qualities,impulsive,en,NB,ɪmpˈʌlsɪv,ˈɪmpʉlsˌiːv,0.875,0.288,0.236,2.483,Positive
body,waist,fr,pl,tˈaj,tˈalja,0.600,0.165,0.175,2.483,Positive
body,nerves,fr,pl,nˈɛʁ,nˈɛrvɨ,0.600,0.165,0.175,2.483,Positive
body,ligament,nl,PT-PT,lˌiɣaːmˈɛnt,lˌiɡɐmˈeɪŋtʊ,0.800,0.231,0.229,2.483,Positive
body,molar,nl,PT-PT,mˈɔlaːr,mulˈaɹ,0.800,0.231,0.229,2.483,Positive
body,palm,nl,PT-PT,pˈɑlm,pˈɑlmɐ,0.800,0.231,0.229,2.483,Positive
school,lesson,de,es,lɛktsjˈoːn,lekθjˈon,0.875,0.260,0.248,2.483,Positive
school,project,de,es,pɾoːjˈɛkt,pɾoʝˈekto,0.875,0.260,0.248,2.483,Positive
transportations,catamaran,de,PT-PT,kˌɑtamarˈɑːn,kˌɐtɐmɐɾˈɐ̃,0.889,0.255,0.255,2.483,Positive
transportations,bathyscaphe,de,PT-PT,bˈatʏskˌɑːfə,bˌɐtiʃkˈafʊ,0.889,0.255,0.255,2.483,Positive
furniture,divan,da,fr,dˈʔiʋan,divˈɑ̃,0.800,0.241,0.225,2.483,Positive
furniture,furniture,da,fr,mˈʔœblʔʌ,mˈøbl,0.800,0.241,0.225,2.483,Positive
furniture,throne,da,fr,tʁˈonə,tʁˈoːn,0.800,0.241,0.225,2.483,Positive
business,debit,de,PT-PT,deːbˈɪt,dˈɛbitʊ,0.833,0.261,0.231,2.482,Positive
business,tariff,de,PT-PT,tˈɑriːf,tˌɐɾˈifɐ,0.833,0.261,0.231,2.482,Positive
personal qualities,hypercritical,hu,el,hˈipɛrkritikuʃ,ˌiperkrˈisimˌi,0.615,0.190,0.171,2.482,Positive
personal qualities,impulsive,ro,hu,ˌimpulsˈiv,ˈimpulziːv,0.875,0.246,0.253,2.482,Positive
personal qualities,motivated,ro,hu,mˌotivˈat,mˈotivaːlt,0.875,0.246,0.253,2.482,Positive
personal qualities,assertive,ro,hu,ˌasertˈiv,ˈɑssɛrtiːv,0.875,0.246,0.253,2.482,Positive
personal qualities,indolent,ro,hu,ˌindolˈent,ˈindolɛnʃ,0.875,0.246,0.253,2.482,Positive
personal qualities,positive,ro,hu,pˌozitˈive,pˈozitiːv,0.875,0.246,0.253,2.482,Positive
personal qualities,tolerant,ro,hu,tˌoleɾˈant,tˈolɛraːnʃ,0.875,0.246,0.253,2.482,Positive
furniture,console,PT-PT,pl,kˌuŋsˈɔlɐ,kɔnsˈɔla,0.857,0.274,0.235,2.482,Positive
medical terms,therapy,fr,el,teʁapˈi,θˌerapˈia,0.857,0.254,0.243,2.482,Positive
medical terms,toxic,fr,el,toksˈik,tˌoksikˈo,0.857,0.254,0.243,2.482,Positive
shopping,style,da,fr,stˈʔel,stˈil,0.750,0.226,0.211,2.482,Positive
shopping,warranty,da,fr,ɡɑʁˈ?ɑntˈʔi,ɡaʁɑ̃tˈi,0.750,0.226,0.211,2.482,Positive
shopping,price,da,fr,pʁˈʔis,pʁˈi,0.750,0.226,0.211,2.482,Positive
shopping,quality,da,fr,kʋˌalitˈʔet,kalitˈe,0.750,0.226,0.211,2.482,Positive
furniture,secretary,en,fr,sˈɛkɹətɹi,səkʁetˈɛʁ,0.750,0.228,0.210,2.482,Positive
furniture,lamp,en,fr,lˈæmp,lˈɑ̃p,0.750,0.228,0.210,2.482,Positive
clothes,pullover,hu,el,pˈuloːvɛr,pulˈover,1.000,0.304,0.281,2.481,Positive
clothes,anorak,hu,el,ˈɑnoraːk,(en)ˈanɔːɹˌak(el),1.000,0.304,0.281,2.481,Positive
clothes,tutu,hu,el,tˈutu,(en)tˈuːtuː(el),1.000,0.304,0.281,2.481,Positive
clothes,sari,hu,el,ʃˈɑri,(en)sˈɑːɹi(el),1.000,0.304,0.281,2.481,Positive
clothes,zoris,hu,el,zˈoriʃ,(en)zˈɔːɹɪs(el),1.000,0.304,0.281,2.481,Positive
clothes,crown,hu,el,kˈoronɑ,korˈona,1.000,0.304,0.281,2.481,Positive
clothes,teddy,hu,el,tˈɛdːi,(en)tˈɛdi(el),1.000,0.304,0.281,2.481,Positive
clothes,sweater,hu,el,pˈuloːvɛr,pulˈover,1.000,0.304,0.281,2.481,Positive
clothes,tiara,hu,el,tˈiɑrɑ,tiˈara,1.000,0.304,0.281,2.481,Positive
clothes,tam,hu,el,tˈɑm,(en)tˈam(el),1.000,0.304,0.281,2.481,Positive
clothes,bib,hu,el,bˈib,(en)bˈɪb(el),1.000,0.304,0.281,2.481,Positive
clothes,sarong,hu,el,sˈɑronɡ,sarˈonɡ,1.000,0.304,0.281,2.481,Positive
clothes,parka,hu,el,pˈɑrkɑ,parkˈa,1.000,0.304,0.281,2.481,Positive
house,wainscoting,PT-PT,ro,lɐ̃mbɹˈiʃ,lˈambriʊ,0.857,0.286,0.230,2.481,Positive
shopping,checkout,PT-PT,el,ʃˌɛkˈowt,(en)tʃˈɛkaʊt(el),0.571,0.206,0.147,2.481,Positive
transportations,galleon,ro,da,ɡalˈeon,ɡˈaləʔon,1.000,0.307,0.279,2.481,Positive
transportations,pilot,ro,da,pilˈot,pʔilˈʔot,1.000,0.307,0.279,2.481,Positive
transportations,minivan,ro,da,mˌinivˈan,mˈʔinʔiʋˌan,1.000,0.307,0.279,2.481,Positive
transportations,sedan,ro,da,sedˈan,sʔeðˈan,1.000,0.307,0.279,2.481,Positive
transportations,biplane,ro,da,biplˈan,bˈʔiplan,1.000,0.307,0.279,2.481,Positive
transportations,skiff,ro,da,skˈif,skˈʔif,1.000,0.307,0.279,2.481,Positive
transportations,uboat,ro,da,ubˈɔat,ˈʔubʔoˌat,1.000,0.307,0.279,2.481,Positive
transportations,monorail,ro,da,mˌonoɾˈaɪl,mˈʔonʔoʁˌaʔil,1.000,0.307,0.279,2.481,Positive
medical terms,xray,hu,NB,rˈøntɡɛn,rˈœntɡən,1.000,0.271,0.294,2.480,Positive
medical terms,virus,hu,NB,vˈiːruʃ,vˈiːrʉːs,1.000,0.271,0.294,2.480,Positive
medical terms,reflex,hu,NB,rˈɛflɛks,rˈɛflɛks,1.000,0.271,0.294,2.480,Positive
medical terms,scale,hu,NB,ʃkˈaːlɑ,skˈalɑ,1.000,0.271,0.294,2.480,Positive
medical terms,shock,hu,NB,ʃˈokː,ʃˈɔkː,1.000,0.271,0.294,2.480,Positive
medical terms,test,hu,NB,tˈɛst,tˈɛst,1.000,0.271,0.294,2.480,Positive
medical terms,artery,hu,NB,ˈɑrteːriɑ,ˈɑrteːrˌiːa,1.000,0.271,0.294,2.480,Positive
medical terms,vein,hu,NB,vˈeːnɑ,vˈeːna,1.000,0.271,0.294,2.480,Positive
medical terms,acute,hu,NB,ˈɑkut,ˈakʉtː,1.000,0.271,0.294,2.480,Positive
emotions,acceptance,de,pl,ˈaktsɛptˌants,ˌaktsɛptˈatsja,0.750,0.206,0.219,2.480,Positive
shoes,zoris,en,it,zˈɔːɹɪs,dzˈoris,0.833,0.256,0.233,2.480,Positive
restaurant,jam,de,el,mˈaɾməlˌɑːdə,mˌarmelˈaða,0.889,0.278,0.246,2.480,Positive
clothes,tutu,ro,NB,tˈutu,tˈʉːtʉː,1.000,0.293,0.285,2.480,Positive
clothes,caftan,ro,NB,kaftˈan,kˈɑftan,1.000,0.293,0.285,2.480,Positive
clothes,balaclava,ro,NB,bˌalaklˈava,bˈalɑklˌavɑ,1.000,0.293,0.285,2.480,Positive
clothes,shawl,ro,NB,ʃˈal,ʃˈal,1.000,0.293,0.285,2.480,Positive
clothes,cardigan,ro,NB,kˌardiɡˈan,kˈɑrdiːɡˌan,1.000,0.293,0.285,2.480,Positive
clothes,corset,ro,NB,korsˈet,kˈɔrʃɛtː,1.000,0.293,0.285,2.480,Positive
clothes,peplum,ro,NB,peplˈum,pˈɛplʉːm,1.000,0.293,0.285,2.480,Positive
clothes,turban,ro,NB,turbˈan,tˈʉrban,1.000,0.293,0.285,2.480,Positive
clothes,flipflops,ro,NB,flipflˈops,flˈɪpflɔps,1.000,0.293,0.285,2.480,Positive
clothes,tam,ro,NB,tˈam,tˈam,1.000,0.293,0.285,2.480,Positive
clothes,top,ro,NB,tˈop,tˈɔpː,1.000,0.293,0.285,2.480,Positive
personal qualities,awesome,de,hu,fantˈastɪʃ,fˈɑntɑstikuʃ,0.818,0.228,0.238,2.480,Positive
personal qualities,tolerant,ro,da,tˌoleɾˈant,tʔoləʁˈ?ɑnt,0.889,0.255,0.256,2.480,Positive
computer,paste,PT-PT,da,pˈaʃtɐ,pˈasta,1.000,0.349,0.263,2.479,Positive
computer,bit,PT-PT,da,bˈit,bˈʔit,1.000,0.349,0.263,2.479,Positive
computer,virus,PT-PT,da,vˈiɾuʃ,ʋˈʔiʁʔus,1.000,0.349,0.263,2.479,Positive
computer,captcha,PT-PT,da,kˈaptʃɐ,kˈɑptʃa,1.000,0.349,0.263,2.479,Positive
computer,web,PT-PT,da,wˈeb,wˈʔeb,1.000,0.349,0.263,2.479,Positive
computer,wiki,PT-PT,da,wikˈi,wˈʔikʔi,1.000,0.349,0.263,2.479,Positive
personal qualities,analytical,cs,NB,ˈanalˌititskeː,ˈanalˌyːtɪsk,0.818,0.253,0.228,2.479,Positive
personal qualities,competent,cs,NB,kˈompetˌentɲiː,kˈɔmpeːtˌɛnt,0.818,0.253,0.228,2.479,Positive
personal qualities,egotistical,cs,NB,ˈeɡoˌistitskiː,ˈeːɡɔɪstˌɪsk,0.818,0.253,0.228,2.479,Positive
personal qualities,dramatic,cs,NB,drˈamatˌitskiː,drˈamatˌɪsk,0.818,0.253,0.228,2.479,Positive
personal qualities,hysterical,cs,NB,hˈisterˌitskiː,hˈysteːrˌɪsk,0.818,0.253,0.228,2.479,Positive
personal qualities,inactive,es,NB,ˌinaktˈiβo,ˈiːnɑktˌiːv,0.875,0.258,0.249,2.479,Positive
personal qualities,discreet,es,NB,diskɾˈeto,dˈɪskrət,0.875,0.258,0.249,2.479,Positive
personal qualities,idle,es,NB,ˌinaktˈiβo,ˈiːnɑktˌiːv,0.875,0.258,0.249,2.479,Positive
personal qualities,negative,es,NB,nˌeɣatˈiβo,nˈeːɡatˌiːv,0.875,0.258,0.249,2.479,Positive
emotions,sardonic,da,pl,sɑdˈʔonʔisɡ,sˌardɔɲˈitʃnɨ,0.636,0.178,0.185,2.479,Positive
emotions,frustration,da,pl,fʁˌustʁ?ɑʃˈʔon,frustrˈatsja,0.636,0.178,0.185,2.479,Positive
emotions,ecstatic,da,pl,εkstˈatʔisɡ,ˌɛkstatˈɨtʃnɨ,0.636,0.178,0.185,2.479,Positive
clothes,bikini,es,hu,bikˈini,bˈikini,1.000,0.277,0.292,2.478,Positive
clothes,anorak,es,hu,ˌanoɾˈak,ˈɑnoraːk,1.000,0.277,0.292,2.478,Positive
clothes,caftan,es,hu,kaftˈan,kˈɑftaːn,1.000,0.277,0.292,2.478,Positive
clothes,tunic,es,hu,tˈunika,tˈunikɑ,1.000,0.277,0.292,2.478,Positive
clothes,crown,es,hu,koɾˈona,kˈoronɑ,1.000,0.277,0.292,2.478,Positive
clothes,cardigan,es,hu,kˈaɾðiɣan,kˈɑrdiɡaːn,1.000,0.277,0.292,2.478,Positive
clothes,toga,es,hu,tˈoɣa,tˈoːɡɑ,1.000,0.277,0.292,2.478,Positive
clothes,muumuu,es,hu,mˌuumˈuu,mˈuumuu,1.000,0.277,0.292,2.478,Positive
clothes,tam,es,hu,tˈam,tˈɑm,1.000,0.277,0.292,2.478,Positive
clothes,sari,es,hu,sˈaɾi,ʃˈɑri,1.000,0.277,0.292,2.478,Positive
clothes,parka,es,hu,pˈaɾka,pˈɑrkɑ,1.000,0.277,0.292,2.478,Positive
clothes,poncho,es,hu,pˈontʃo,pˈontʃoː,1.000,0.277,0.292,2.478,Positive
clothes,boa,es,hu,bˈoa,bˈoɑ,1.000,0.277,0.292,2.478,Positive
clothes,sombrero,es,hu,sombɾˈeɾo,ʃˈombrɛro,1.000,0.277,0.292,2.478,Positive
clothes,kimono,es,hu,kimˈono,kˈimonoː,1.000,0.277,0.292,2.478,Positive
clothes,peplum,es,hu,pˈeplum,pˈɛplum,1.000,0.277,0.292,2.478,Positive
clothes,duds,es,hu,dˈuds,dˈudʃ,1.000,0.277,0.292,2.478,Positive
clothes,togs,es,hu,tˈoɡs,tˈoɡʃ,1.000,0.277,0.292,2.478,Positive
clothes,top,es,hu,tˈop,tˈop,1.000,0.277,0.292,2.478,Positive
clothes,dirndl,es,hu,dˈiɾndl,dˈirndl,1.000,0.277,0.292,2.478,Positive
clothes,kit,es,hu,kˈit,kˈit,1.000,0.277,0.292,2.478,Positive
clothes,fedora,es,hu,feðˈoɾa,fˈɛdorɑ,1.000,0.277,0.292,2.478,Positive
clothes,tutu,es,hu,tutˈu,tˈutu,1.000,0.277,0.292,2.478,Positive
personal qualities,sentimental,PT-PT,pl,sˌeɪŋtimeɪŋtˈɑl,sˌɛntɨmɛntˈalnɨ,0.692,0.228,0.187,2.478,Positive
school,library,es,da,bˌiβliotˈeka,bˌʔiblʔiotˈek,0.800,0.260,0.218,2.478,Positive
school,arithmetic,es,da,ˌaɾitmˈetika,ˌɑɑʔitmʔetˈʔik,0.800,0.260,0.218,2.478,Positive
house,baluster,it,hu,balaˈʊstro,bˈɑluʃtɛr,0.667,0.196,0.190,2.478,Positive
medical terms,pus,es,NB,pˈus,pˈʉːs,1.000,0.333,0.269,2.478,Positive
medical terms,exam,es,NB,eksˈamen,ˈɛksamən,1.000,0.333,0.269,2.478,Positive
medical terms,plasma,es,NB,plˈasma,plˈɑsmɑ,1.000,0.333,0.269,2.478,Positive
family,matriarch,da,fr,mˈatʁʔiˌɑɑk,matʁiˈaʁʃ,0.750,0.220,0.214,2.478,Positive
family,clan,da,fr,klˈan,klˈɑ̃,0.750,0.220,0.214,2.478,Positive
family,patriarch,da,fr,pˈatʁʔiˌɑɑk,patʁiˈaʁʃ,0.750,0.220,0.214,2.478,Positive
family,kith,da,fr,kˈʔith,(en)kˈɪθ(fr),0.750,0.220,0.214,2.478,Positive
house,inglenook,nl,ro,ˈɪnɣleːnˌoːk,ˌiŋɡlenoˈok,0.889,0.254,0.256,2.478,Positive
music,cadence,da,NB,kaðˈ?ɑŋs-ən,rˈytma,0.100,0.616,0.208,-2.478,Negative
family,senior,fr,pl,sənjˈɔʁ,sˈɛɲʲɔr,0.833,0.236,0.241,2.478,Positive
emotions,sarcastic,en,de,sɑːɹkˈæstɪk,zaɾkˈastɪʃ,0.778,0.247,0.214,2.477,Positive
house,baluster,es,hu,balˈaʊstɾe,bˈɑluʃtɛr,0.667,0.193,0.191,2.477,Positive
house,garage,es,hu,ɡaɾˈaxe,ɡˈɑraːʒ,0.667,0.193,0.191,2.477,Positive
plants,sepal,pl,el,sˈɛpal,sˈepalˌo,0.833,0.233,0.242,2.477,Positive
plants,cactus,pl,el,kˈaktus,kˈaktos,0.833,0.233,0.242,2.477,Positive
plants,stoma,pl,el,stˈɔmja,stomˈia,0.833,0.233,0.242,2.477,Positive
body,organs,nl,ro,ɔrɣˈaːnən,orɡˈane,0.857,0.254,0.244,2.477,Positive
body,follicle,nl,ro,fˌɔlikˈɛl,fˈolikul,0.857,0.254,0.244,2.477,Positive
body,tarsal,nl,ro,tɑrsˈaːlə,tarsˈal,0.857,0.254,0.244,2.477,Positive
body,capillary,nl,ro,kˌaːpɪlˈɛr,kˌapilˈar,0.857,0.254,0.244,2.477,Positive
personal qualities,provocative,cs,hu,prˈovokˌativɲiː,prˈovokɑtiːv,0.833,0.237,0.241,2.477,Positive
personal qualities,persnickety,cs,hu,pˈersɲitskˌeti,pˈɛrʃnitskɛc,0.833,0.237,0.241,2.477,Positive
animals,dinichthys,PT-PT,el,(en)dˈɪnɪʃθiz(pt-pt),(en)dˈɪnɪʃθiz(el),1.000,0.360,0.258,2.477,Positive
animals,asp,PT-PT,el,ˈaʃp,(en)ˈasp(el),1.000,0.360,0.258,2.477,Positive
animals,wildebeest,PT-PT,el,ɡnˈu,ɡnˈu,1.000,0.360,0.258,2.477,Positive
animals,hyrax,PT-PT,el,iɾˈaks,irˈaks,1.000,0.360,0.258,2.477,Positive
