topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
business,cubicle,cubicle,kabine,,,,cubículo,cubículo,,,,,,,
business,currency,currency,währung,,,,divisa,moeda,,,,,,,
business,customer,customer,kunde,,,,cliente,cliente,,,,,,,
business,database,database,datenbank,,,,base de datos,base de dados,,,,,,,
business,deadline,deadline,frist,,,,plazo,prazo,,,,,,,
business,deal,deal,angebot,,,,acuerdo,negócio,,,,,,,
business,debit,debit,debit,,,,débito,débito,,,,,,,
business,deflation,deflation,deflation,,,,deflación,deflação,,,,,,,
business,demand,demand,nachfrage,,,,demanda,procura,,,,,,,
business,department,department,abteilung,,,,departamento,departamento,,,,,,,
business,director,director,direktor,,,,director,diretor,,,,,,,
business,discount,discount,rabatt,,,,descuento,desconto,,,,,,,
business,dismiss,dismiss,entlassen,,,,desestimar,despedir,,,,,,,
business,distribution,distribution,vertrieb,,,,distribución,distribuição,,,,,,,
business,diversify,diversify,diversifizieren,,,,diversificar,diversificar,,,,,,,
business,dividend,dividend,dividende,,,,dividendo,dividendo,,,,,,,
business,down payment,down payment,anzahlung,,,,anticipo,adiantamento,,,,,,,
business,download,download,herunterladen,,,,descargar,descarregar,,,,,,,
business,duties,duties,aufgaben,,,,deberes,direitos,,,,,,,
business,duty,duty,zoll,,,,deber,dever,,,,,,,
business,economical,economical,wirtschaftlich,,,,económico,económico,,,,,,,
business,economics,economics,wirtschaft,,,,economía,economia,,,,,,,
business,economy of scale,economy of scale,größenvorteile,,,,economía de escala,economia de escala,,,,,,,
business,efficiency,efficiency,effizienz,,,,eficacia,eficiência,,,,,,,
business,employ,employ,einsetzen.,,,,emplear,empregar,,,,,,,
business,employee,employee,mitarbeiter,,,,empleado,empregado,,,,,,,
business,employer,employer,arbeitgeber,,,,empresario,empregador,,,,,,,
business,employment,employment,beschäftigung,,,,empleo,emprego,,,,,,,
business,entrepreneur,entrepreneur,unternehmer,,,,emprendedor,empresário,,,,,,,
business,equipment,equipment,ausrüstung,,,,equipo,equipamento,,,,,,,
business,estimate,estimate,schätzung,,,,estimación,estimativa,,,,,,,
business,executive,executive,exekutive,,,,ejecutivo,executivo,,,,,,,
business,expenses,expenses,ausgaben,,,,gastos,despesas,,,,,,,
business,export,export,exportieren,,,,exportar,exportação,,,,,,,
business,facility,facility,einrichtung,,,,instalación,instalações,,,,,,,
business,factory,factory,werk,,,,fábrica,fábrica,,,,,,,
business,fax,fax,fax,,,,fax,fax,,,,,,,
business,figures,figures,zahlen,,,,cifras,números,,,,,,,
business,finance,finance,finanzen,,,,finanzas,finanças,,,,,,,
business,financial,financial,finanzen,,,,financiero,financeiro,,,,,,,
business,fire,fire,feuer,,,,fuego,incêndio,,,,,,,
business,foreman,foreman,vorarbeiter,,,,capataz,capataz,,,,,,,
business,framework,framework,rahmenwerk,,,,marco,enquadramento,,,,,,,
business,freight,freight,fracht,,,,carga,frete,,,,,,,
business,fund,fund,fonds,,,,fondo,fundo,,,,,,,
business,goods,goods,waren,,,,mercancías,mercadorias,,,,,,,
business,graph,graph,grafik,,,,gráfico,gráfico,,,,,,,
business,gross,gross,brutto,,,,bruto,bruto,,,,,,,
business,growth,growth,wachstum,,,,crecimiento,crescimento,,,,,,,
business,guidebook,guidebook,reiseführer,,,,guía,guia,,,,,,,
business,headhunter,headhunter,headhunter,,,,cazatalentos,caçador de talentos,,,,,,,
business,headquarters,headquarters,hauptsitz,,,,sede,sede,,,,,,,
business,high,high,hoch,,,,alta,elevado,,,,,,,
business,hire,hire,mieten,,,,contratar,aluguer,,,,,,,
business,hours,hours,stunden,,,,horas,horas,,,,,,,
business,import,import,importieren,,,,importar,importação,,,,,,,
business,incentive,incentive,anreiz,,,,incentivo,incentivo,,,,,,,
business,income,income,einkommen,,,,ingresos,rendimento,,,,,,,
business,income tax,income tax,einkommensteuer,,,,impuesto sobre la renta,imposto sobre o rendimento,,,,,,,
business,inflation,inflation,inflation,,,,inflación,inflação,,,,,,,
business,insurance,insurance,versicherung,,,,seguro,seguro,,,,,,,
business,interest rate,interest rate,zinssatz,,,,tipo de interés,taxa de juro,,,,,,,
business,intern,intern,praktikant,,,,becario,estagiário,,,,,,,
business,interview,interview,interview,,,,entrevista,entrevista,,,,,,,
business,inventory,inventory,inventar,,,,inventario,inventário,,,,,,,
business,invest,invest,investieren,,,,invertir,investir,,,,,,,
business,investment,investment,investition,,,,inversión,investimento,,,,,,,
business,invoice,invoice,rechnung,,,,factura,fatura,,,,,,,
business,job,job,job,,,,empleo,trabalho,,,,,,,
business,labor,labor,arbeit,,,,trabajo,trabalho,,,,,,,
business,laborer,laborer,arbeiter,,,,obrero,trabalhador,,,,,,,
business,laptop,laptop,laptop,,,,ordenador portátil,portátil,,,,,,,
business,lead,lead,blei,,,,plomo,chumbo,,,,,,,
business,lease,lease,leasing,,,,arrendamiento,arrendamento,,,,,,,
business,leave,leave,verlassen.,,,,dejar,sair,,,,,,,
business,letterhead,letterhead,briefkopf,,,,membrete,papel timbrado,,,,,,,
business,liability,liability,haftung,,,,responsabilidad,responsabilidade,,,,,,,
business,loan,loan,darlehen,,,,préstamo,empréstimo,,,,,,,
business,login,login,anmeldung,,,,inicio de sesión,login,,,,,,,
business,loss,loss,verlust,,,,pérdida,perda,,,,,,,
business,low,low,niedrig,,,,bajo,baixo,,,,,,,
business,lucrative,lucrative,lukrativ,,,,lucrativo,lucrativo,,,,,,,
business,mailbox,mailbox,mailbox,,,,buzón,caixa de correio,,,,,,,
business,mainframe,mainframe,großrechner,,,,ordenador central,mainframe,,,,,,,
business,manage,manage,verwalten,,,,gestionar,gerir,,,,,,,
business,management,management,management,,,,gestión,gestão,,,,,,,
business,manager,manager,manager,,,,director,gestor,,,,,,,
business,market,market,markt,,,,mercado,mercado,,,,,,,
business,marketing,marketing,marketing,,,,marketing,marketing,,,,,,,
business,meeting,meeting,treffen,,,,reunión,reunião,,,,,,,
business,memo,memo,memo,,,,memo,memorando,,,,,,,
business,merchandise,merchandise,ware,,,,mercancía,mercadoria,,,,,,,
business,merchant,merchant,händler,,,,comerciante,comerciante,,,,,,,
business,money,money,geld,,,,dinero,dinheiro,,,,,,,
business,monopoly,monopoly,monopol,,,,monopolio,monopólio,,,,,,,
business,motherboard,motherboard,hauptplatine,,,,placa base,placa-mãe,,,,,,,
business,mouse pad,mouse pad,mauspad,,,,alfombrilla de ratón,tapete de rato,,,,,,,
business,negotiate,negotiate,verhandeln.,,,,negociar,negociar,,,,,,,
business,negotiation,negotiation,verhandlung,,,,negociación,negociação,,,,,,,
business,net,net,netz,,,,red,líquido,,,,,,,
business,net worth,net worth,nettowert,,,,patrimonio neto,património líquido,,,,,,,
business,network,network,netzwerk,,,,red,rede,,,,,,,
business,niche,niche,nische,,,,nicho,nicho,,,,,,,
business,notebook,notebook,notizbuch,,,,cuaderno,caderno,,,,,,,
business,notice,notice,hinweis,,,,aviso,aviso,,,,,,,
business,nowin,nowin,jetzt in,,,,ahora en,agora,,,,,,,
business,occupation,occupation,beruf,,,,ocupación,ocupação,,,,,,,
business,offer,offer,angebot,,,,oferta,oferta,,,,,,,
business,office,office,büro,,,,oficina,escritório,,,,,,,
business,offline,offline,offline,,,,sin conexión,offline,,,,,,,
business,online,online,online,,,,en línea,em linha,,,,,,,
business,open,open,öffnen,,,,abra,aberto,,,,,,,
business,opportunity,opportunity,gelegenheit,,,,oportunidad,oportunidade,,,,,,,
business,order,order,bestellung,,,,pedir,ordem,,,,,,,
business,organization,organization,organisation,,,,organización,organização,,,,,,,
business,outgoing,outgoing,ausgehend von,,,,saliente,de saída,,,,,,,
business,overdraft,overdraft,überziehungskredit,,,,descubierto,saque a descoberto,,,,,,,
business,overhead,overhead,overhead,,,,techo,sobrecarga,,,,,,,
business,owner,owner,eigentümer,,,,propietario,proprietário,,,,,,,
business,packing list,packing list,packliste,,,,lista de embalaje,lista de embalagem,,,,,,,
business,paperweight,paperweight,briefbeschwerer,,,,pisapapeles,pisa-papéis,,,,,,,
business,partner,partner,partner,,,,socio,parceiro,,,,,,,
business,password,password,passwort,,,,contraseña,palavra-passe,,,,,,,
business,pay,pay,bezahlen.,,,,pagar,pagar,,,,,,,
business,payment,payment,zahlung,,,,pago,pagamento,,,,,,,
business,perk,perk,perk,,,,ventaja,vantagem,,,,,,,
business,personnel,personnel,personal,,,,personal,pessoal,,,,,,,
business,plan,plan,plan,,,,plan,plano,,,,,,,
business,policy,policy,politik,,,,política,política,,,,,,,
business,portfolio,portfolio,portfolio,,,,cartera,carteira,,,,,,,
business,position,position,position,,,,posición,posição,,,,,,,
business,presentation,presentation,präsentation,,,,presentación,apresentação,,,,,,,
business,president,president,präsident,,,,presidente,presidente,,,,,,,
business,price,price,preis,,,,precio,preço,,,,,,,
business,prime rate,prime rate,leitzins,,,,tipo preferente,taxa principal,,,,,,,
business,principal,principal,auftraggeber,,,,principal,principal,,,,,,,
business,product,product,produkt,,,,producto,produto,,,,,,,
business,production,production,produktion,,,,producción,produção,,,,,,,
business,profit,profit,gewinn,,,,beneficio,lucro,,,,,,,
business,profitable,profitable,profitabel,,,,rentable,rentável,,,,,,,
business,promotion,promotion,förderung,,,,promoción,promoção,,,,,,,
business,proposal,proposal,vorschlag,,,,propuesta,proposta,,,,,,,
business,prospects,prospects,perspektiven,,,,perspectivas,perspectivas,,,,,,,
business,proxy,proxy,proxy,,,,proxy,procurador,,,,,,,
business,purchase order,purchase order,einkaufsbestellung,,,,pedido,ordem de compra,,,,,,,
business,purchasing,purchasing,einkauf,,,,compras,aquisição,,,,,,,
business,quarter,quarter,quartal,,,,trimestre,trimestre,,,,,,,
business,quit,quit,kündigen,,,,abandone,desistir,,,,,,,
business,rank,rank,rang,,,,rango,classificação,,,,,,,
business,receipt,receipt,beleg,,,,recibo,recibo,,,,,,,
business,recruit,recruit,anwerben.,,,,contratar,recruta,,,,,,,
business,recruiter,recruiter,anwerber,,,,reclutador,recrutador,,,,,,,
business,refund,refund,erstattung,,,,reembolso,reembolso,,,,,,,
business,resign,resign,zurücktreten,,,,dimita,demitir-se,,,,,,,
business,retail,retail,einzelhandel,,,,venta al por menor,retalho,,,,,,,
business,retailer,retailer,einzelhändler,,,,minorista,retalhista,,,,,,,
business,retire,retire,in den ruhestand treten,,,,jubilarse,reformar-se,,,,,,,
business,risk,risk,risiko,,,,riesgo,risco,,,,,,,
business,rsum,rsum,rsum,,,,rsum,rsum,,,,,,,
business,salary,salary,gehalt,,,,salario,salário,,,,,,,
business,sale,sale,verkauf,,,,venta,venda,,,,,,,
business,sales tax,sales tax,verkaufssteuer,,,,impuesto sobre las ventas,imposto sobre vendas,,,,,,,
business,salesman,salesman,verkäufer,,,,vendedor,vendedor,,,,,,,
business,saleswoman,saleswoman,verkäuferin,,,,vendedora,vendedora,,,,,,,
business,secretary,secretary,sekretärin,,,,secretario,secretário,,,,,,,
business,sell,sell,verkaufen,,,,vender,vender,,,,,,,
business,seller,seller,verkäufer,,,,vendedor,vendedor,,,,,,,
business,service,service,dienstleistung,,,,servicio,serviço,,,,,,,
business,shareholder,shareholder,aktionär,,,,accionista,acionista,,,,,,,
business,ship,ship,schiff,,,,barco,navio,,,,,,,
business,shipment,shipment,sendung,,,,envío,expedição,,,,,,,
business,shipping,shipping,versand,,,,envío,expedição,,,,,,,
business,shop,shop,shop,,,,tienda,loja,,,,,,,
business,sick leave,sick leave,krankenstand,,,,baja por enfermedad,baixa por doença,,,,,,,
business,sign,sign,zeichen,,,,firmar,sinal,,,,,,,
business,signature,signature,unterschrift,,,,firma,assinatura,,,,,,,
business,spreadsheet,spreadsheet,tabellenkalkulation,,,,hoja de cálculo,folha de cálculo,,,,,,,
business,staff,staff,mitarbeiter,,,,personal,pessoal,,,,,,,
business,statement,statement,anweisung,,,,declaración,declaração,,,,,,,
business,stock,stock,aktie,,,,stock,stock,,,,,,,
business,stockholder,stockholder,aktionär,,,,accionista,acionista,,,,,,,
business,strike,strike,streiken,,,,huelga,greve,,,,,,,
business,success,success,erfolg,,,,éxito,sucesso,,,,,,,
business,superintendent,superintendent,oberinspektor,,,,superintendente,superintendente,,,,,,,
business,supervisor,supervisor,aufsichtsperson,,,,supervisor,supervisor,,,,,,,
business,supply,supply,angebot,,,,suministro,fornecimento,,,,,,,
business,target,target,ziel,,,,objetivo,objetivo,,,,,,,
business,tariff,tariff,tarif,,,,tarifa,tarifa,,,,,,,
business,tax,tax,steuer,,,,fiscal,fiscal,,,,,,,
business,temp,temp,aushilfe,,,,temp,temporário,,,,,,,
business,terms,terms,bedingungen,,,,términos,termos,,,,,,,
business,trade,trade,handel,,,,comercio,comércio,,,,,,,
business,tradeoff,tradeoff,kompromiss,,,,compensación,compromisso,,,,,,,
business,trainee,trainee,azubi,,,,aprendiz,estagiário,,,,,,,
business,transaction,transaction,transaktion,,,,transacción,transação,,,,,,,
business,treasurer,treasurer,schatzmeister,,,,tesorero,tesoureiro,,,,,,,
business,treasury,treasury,schatzamt,,,,tesorería,tesouraria,,,,,,,
business,trend,trend,trend,,,,tendencia,tendência,,,,,,,
business,typeface,typeface,schriftart,,,,tipo de letra,tipo de letra,,,,,,,
business,typewriter,typewriter,schreibmaschine,,,,máquina de escribir,máquina de escrever,,,,,,,
business,unemployment,unemployment,arbeitslosigkeit,,,,desempleo,desemprego,,,,,,,
business,union,union,gewerkschaft,,,,unión,união,,,,,,,
business,unit cost,unit cost,stückkosten,,,,coste unitario,custo unitário,,,,,,,
business,upgrade,upgrade,aktualisieren,,,,actualizar,atualização,,,,,,,
business,upload,upload,hochladen,,,,cargar,carregar,,,,,,,
business,username,username,nutzername,,,,nombre de usuario,nome de utilizador,,,,,,,
business,vacancy,vacancy,stellenausschreibung,,,,vacante,vaga,,,,,,,
business,vacation time,vacation time,urlaubszeit,,,,tiempo de vacaciones,tempo de férias,,,,,,,
business,venture,venture,unternehmen,,,,empresa,empreendimento,,,,,,,
business,vicepresident,vicepresident,vizepräsident,,,,vicepresidente,vice-presidente,,,,,,,
business,video conference,video conference,videokonferenz,,,,videoconferencia,videoconferência,,,,,,,
business,volume,volume,band,,,,volumen,volume,,,,,,,
business,warranty,warranty,garantie,,,,garantía,garantia,,,,,,,
business,wastebasket,wastebasket,papierkorb,,,,papelera,caixote do lixo,,,,,,,
business,waybill,waybill,frachtbrief,,,,hoja de ruta,carta de porte,,,,,,,
business,wholesale,wholesale,großhandel,,,,venta al por mayor,grossista,,,,,,,
business,wholesaler,wholesaler,großhändler,,,,mayorista,grossista,,,,,,,
business,winwin,winwin,winwin,,,,winwin,gémeo,,,,,,,
business,withdraw,withdraw,zurückziehen,,,,retirar,retirar,,,,,,,
business,work,work,arbeit,,,,trabajo,trabalho,,,,,,,
business,worker,worker,arbeiter,,,,trabajador,trabalhador,,,,,,,
business,workroom,workroom,arbeitsraum,,,,taller,sala de trabalho,,,,,,,
business,workspace,workspace,arbeitsbereich,,,,espacio de trabajo,espaço de trabalho,,,,,,,
business,yield,yield,ertrag,,,,rendimiento,rendimento,,,,,,,
clothes,abaya,abaya,abaya,,,,abaya,abaya,,,,,,,
clothes,anorak,anorak,anorak,,,,anorak,anoraque,,,,,,,
clothes,apparel,apparel,kleidung,,,,ropa,vestuário,,,,,,,
clothes,apron,apron,schürze,,,,delantal,avental,,,,,,,
clothes,ascot tie,ascot tie,ascot-krawatte,,,,corbata ascot,gravata ascot,,,,,,,
clothes,attire,attire,kleidung,,,,atuendo,vestuário,,,,,,,
clothes,balaclava,balaclava,sturmhaube,,,,pasamontañas,balaclava,,,,,,,
clothes,ball gown,ball gown,ballkleid,,,,vestido de baile,vestido de baile,,,,,,,
clothes,bandanna,bandanna,kopftuch,,,,pañuelo,lenço,,,,,,,
clothes,baseball cap,baseball cap,baseballkappe,,,,gorra de béisbol,boné de basebol,,,,,,,
clothes,bathing suit,bathing suit,badeanzug,,,,traje de baño,fato de banho,,,,,,,
clothes,battledress,battledress,kampfanzug,,,,vestido de batalla,vestido de batalha,,,,,,,
clothes,beanie,beanie,mütze,,,,gorrita,gorro,,,,,,,
clothes,bedclothes,bedclothes,bettwaren,,,,ropa de cama,roupa de cama,,,,,,,
clothes,bellbottoms,bellbottoms,schlaghosen,,,,pantalones de campana,calças boca de sino,,,,,,,
clothes,belt,belt,gürtel,,,,cinturón,cinto,,,,,,,
clothes,beret,beret,baskenmütze,,,,boina,boina,,,,,,,
clothes,bermuda shorts,bermuda shorts,bermudashorts,,,,bermudas,bermudas,,,,,,,
clothes,bib,bib,lätzchen,,,,dorsal,babete,,,,,,,
clothes,bikini,bikini,bikini,,,,bikini,biquíni,,,,,,,
clothes,blazer,blazer,blazer,,,,blazer,blazer,,,,,,,
clothes,bloomers,bloomers,blümchen,,,,bombachos,camisas de noite,,,,,,,
clothes,blouse,blouse,bluse,,,,blusa,blusa,,,,,,,
clothes,boa,boa,boa,,,,boa,jiboia,,,,,,,
clothes,bonnet,bonnet,motorhaube,,,,capó,capota,,,,,,,
clothes,boot,boot,boot,,,,arranque,bota,,,,,,,
clothes,bow,bow,bogen,,,,arco,arco,,,,,,,
clothes,bow tie,bow tie,fliege,,,,pajarita,laço,,,,,,,
clothes,boxer shorts,boxer shorts,boxershorts,,,,calzoncillos bóxer,calções boxer,,,,,,,
clothes,boxers,boxers,boxershorts,,,,boxeadores,boxers,,,,,,,
clothes,bra,bra,bh,,,,sujetador,sutiã,,,,,,,
clothes,bracelet,bracelet,armband,,,,pulsera,bracelete,,,,,,,
clothes,brassiere,brassiere,büstenhalter,,,,sujetador,sutiã,,,,,,,
clothes,breeches,breeches,reithosen,,,,calzones,calções,,,,,,,
clothes,briefs,briefs,schriftsätze,,,,braguitas,pastas,,,,,,,
clothes,buckle,buckle,schnalle,,,,hebilla,fivela,,,,,,,
clothes,button,button,taste,,,,botón,botão,,,,,,,
clothes,buttondown shirt,buttondown shirt,bauchfreies hemd,,,,camisa buttondown,camisa de botão,,,,,,,
clothes,caftan,caftan,kaftan,,,,caftán,caftan,,,,,,,
clothes,camisole,camisole,mieder,,,,camisola,camisola,,,,,,,
clothes,camouflage,camouflage,tarnung,,,,camuflaje,camuflagem,,,,,,,
clothes,cap,cap,kappe,,,,tapa,tampa,,,,,,,
clothes,cap and gown,cap and gown,talar und hut,,,,toga y birrete,barrete e bata,,,,,,,
clothes,cape,cape,cape,,,,cabo,capa,,,,,,,
clothes,capris,capris,capris,,,,capris,capris,,,,,,,
clothes,cardigan,cardigan,strickjacke,,,,cárdigan,casaco de malha,,,,,,,
clothes,chemise,chemise,hemd,,,,chemise,camisa de noite,,,,,,,
clothes,cloak,cloak,umhang,,,,capa,manto,,,,,,,
clothes,clogs,clogs,clogs,,,,zuecos,tamancos,,,,,,,
clothes,clothes,clothes,kleidung,,,,ropa,roupas,,,,,,,
clothes,clothing,clothing,kleidung,,,,ropa,vestuário,,,,,,,
clothes,coat,coat,mantel,,,,abrigo,casaco,,,,,,,
clothes,collar,collar,kragen,,,,cuello,colarinho,,,,,,,
clothes,corset,corset,korsett,,,,corsé,espartilho,,,,,,,
clothes,costume,costume,kostüm,,,,disfraz,traje,,,,,,,
clothes,coveralls,coveralls,schutzanzüge,,,,monos,fatos-macaco,,,,,,,
clothes,cowboy boots,cowboy boots,cowboystiefel,,,,botas vaqueras,botas de cowboy,,,,,,,
clothes,cowboy hat,cowboy hat,cowboyhut,,,,sombrero de vaquero,chapéu de cowboy,,,,,,,
clothes,cravat,cravat,krawatte,,,,corbata,gravata,,,,,,,
clothes,crown,crown,krone,,,,corona,coroa,,,,,,,
clothes,cuff,cuff,manschette,,,,manguito,punho,,,,,,,
clothes,cuff links,cuff links,manschettenknöpfe,,,,gemelos,botões de punho,,,,,,,
clothes,culottes,culottes,culottes,,,,culottes,culotes,,,,,,,
clothes,cummerbund,cummerbund,kummerbund,,,,faja,faixa de cintura,,,,,,,
clothes,dashiki,dashiki,dashiki,,,,dashiki,dashiki,,,,,,,
clothes,diaper,diaper,windel,,,,pañal,fralda,,,,,,,
clothes,dinner jacket,dinner jacket,smoking,,,,smoking,casaco de jantar,,,,,,,
clothes,dirndl,dirndl,dirndl,,,,dirndl,dirndl,,,,,,,
clothes,drawers,drawers,schubladen,,,,cajones,gavetas,,,,,,,
clothes,dress,dress,kleid,,,,vestido,vestido,,,,,,,
clothes,dress shirt,dress shirt,oberhemd,,,,camisa de vestir,camisa social,,,,,,,
clothes,duds,duds,blindgänger,,,,duds,duds,,,,,,,
clothes,dungarees,dungarees,latzhosen,,,,petos,calções de banho,,,,,,,
clothes,earmuffs,earmuffs,gehörschutz,,,,orejeras,protectores de ouvido,,,,,,,
clothes,earrings,earrings,ohrringe,,,,pendientes,brincos,,,,,,,
clothes,elastic,elastic,elastisch,,,,elástico,elástico,,,,,,,
clothes,evening gown,evening gown,abendgarderobe,,,,vestido de noche,vestido de noite,,,,,,,
clothes,fashion,fashion,mode,,,,moda,moda,,,,,,,
clothes,fatigues,fatigues,ermüdungserscheinungen,,,,fatigas,fardas,,,,,,,
clothes,fedora,fedora,fedora,,,,fedora,fedora,,,,,,,
clothes,fez,fez,fez,,,,fez,fez,,,,,,,
clothes,flak jacket,flak jacket,splitterschutzweste,,,,chaleco antibalas,colete à prova de bala,,,,,,,
clothes,flannel nightgown,flannel nightgown,flanell-nachthemd,,,,camisón de franela,camisa de noite de flanela,,,,,,,
clothes,flannel shirt,flannel shirt,flanellhemd,,,,camisa de franela,camisa de flanela,,,,,,,
clothes,flipflops,flipflops,flipflops,,,,chanclas,chinelos,,,,,,,
clothes,formal wear,formal wear,formelle kleidung,,,,traje formal,roupa formal,,,,,,,
clothes,frock,frock,kutte,,,,frock,vestido,,,,,,,
clothes,fur,fur,pelz,,,,piel,peles,,,,,,,
clothes,fur coat,fur coat,pelzmantel,,,,abrigo de piel,casaco de peles,,,,,,,
clothes,gabardine,gabardine,gabardine,,,,gabardina,gabardina,,,,,,,
clothes,gaiters,gaiters,gamaschen,,,,polainas,polainas,,,,,,,
clothes,galoshes,galoshes,galoschen,,,,galochas,galochas,,,,,,,
clothes,garb,garb,gewand,,,,ropa,traje,,,,,,,
clothes,garment,garment,kleidungsstück,,,,prenda,vestuário,,,,,,,
clothes,garters,garters,strumpfbänder,,,,ligas,ligas,,,,,,,
clothes,gear,gear,getriebe,,,,engranaje,equipamento,,,,,,,
clothes,getup,getup,getup,,,,subir,levantar,,,,,,,
clothes,gilet,gilet,gilet,,,,chaleco,gilet,,,,,,,
clothes,girdle,girdle,hüftgürtel,,,,faja,cinta,,,,,,,
clothes,glasses,glasses,brille,,,,gafas,óculos,,,,,,,
clothes,gloves,gloves,handschuhe,,,,guantes,luvas,,,,,,,
clothes,gown,gown,robe,,,,bata,bata,,,,,,,
clothes,halter top,halter top,neckholder-top,,,,top sin mangas,camisola de alças,,,,,,,
clothes,handbag,handbag,handtasche,,,,bolso,mala de mão,,,,,,,
clothes,handkerchief,handkerchief,taschentuch,,,,pañuelo,lenço,,,,,,,
clothes,hat,hat,hut,,,,sombrero,chapéu,,,,,,,
clothes,hawaiian shirt,hawaiian shirt,hawaii-hemd,,,,camisa hawaiana,camisa havaiana,,,,,,,
clothes,hazmat suit,hazmat suit,schutzanzug,,,,traje para materiales peligrosos,fato de proteção,,,,,,,
clothes,headscarf,headscarf,kopftuch,,,,pañuelo,lenço de cabeça,,,,,,,
clothes,helmet,helmet,helm,,,,casco,capacete,,,,,,,
clothes,hem,hem,saum,,,,dobladillo,bainha,,,,,,,
clothes,high heels,high heels,stöckelschuhe,,,,tacones altos,saltos altos,,,,,,,
clothes,hoodie,hoodie,kapuzenpulli,,,,sudadera,casaco com capuz,,,,,,,
clothes,hook and eye,hook and eye,haken und öse,,,,gancho y ojo,gancho e olhal,,,,,,,
clothes,hose,hose,schlauch,,,,manguera,mangueira,,,,,,,
clothes,hosiery,hosiery,strumpfwaren,,,,calcetería,meias,,,,,,,
clothes,hospital gown,hospital gown,krankenhauskittel,,,,bata de hospital,bata de hospital,,,,,,,
clothes,houndstooth,houndstooth,hahnentritt,,,,pata de gallo,dente-de-cavalo,,,,,,,
clothes,housecoat,housecoat,hausmantel,,,,bata de casa,casaco,,,,,,,
clothes,infinity scarf,infinity scarf,unendlichkeitsschal,,,,bufanda infinita,cachecol infinito,,,,,,,
clothes,innerwear,innerwear,unterwäsche,,,,ropa interior,roupa interior,,,,,,,
clothes,insulated jacket,insulated jacket,isolierte jacke,,,,chaqueta aislante,casaco com isolamento,,,,,,,
clothes,jacket,jacket,jacke,,,,chaqueta,casaco,,,,,,,
clothes,jeans,jeans,jeans,,,,vaqueros,calças de ganga,,,,,,,
clothes,jersey,jersey,trikot,,,,jersey,camisola,,,,,,,
clothes,jewelry,jewelry,schmuck,,,,joyería,jóias,,,,,,,
clothes,jodhpurs,jodhpurs,jodhpurhose,,,,pantalones de montar,jodhpurs,,,,,,,
clothes,jumper,jumper,jumper,,,,puente,saltador,,,,,,,
clothes,jumpsuit,jumpsuit,jumpsuit,,,,mono,macacão,,,,,,,
clothes,kerchief,kerchief,kopftuch,,,,pañuelo,lenço,,,,,,,
clothes,khakis,khakis,khakis,,,,caquis,calças de caqui,,,,,,,
clothes,kilt,kilt,kilt,,,,falda escocesa,kilt,,,,,,,
clothes,kimono,kimono,kimono,,,,kimono,quimono,,,,,,,
clothes,kit,kit,bausatz,,,,kit,kit,,,,,,,
clothes,knickers,knickers,schlüpfer,,,,bragas,calcinhas,,,,,,,
clothes,lab coat,lab coat,laborkittel,,,,bata de laboratorio,bata de laboratório,,,,,,,
clothes,lapel,lapel,revers,,,,solapa,lapela,,,,,,,
clothes,leather jacket,leather jacket,lederjacke,,,,chaqueta de cuero,casaco de couro,,,,,,,
clothes,leg warmers,leg warmers,beinwärmer,,,,calentadores,aquecedores de pernas,,,,,,,
clothes,leggings,leggings,leggings,,,,polainas,leggings,,,,,,,
clothes,leotard,leotard,trikot,,,,leotardo,collant,,,,,,,
clothes,life jacket,life jacket,schwimmweste,,,,chaleco salvavidas,colete salva-vidas,,,,,,,
clothes,lingerie,lingerie,unterwäsche,,,,lencería,lingerie,,,,,,,
clothes,loafers,loafers,faulenzer,,,,mocasines,mocassins,,,,,,,
clothes,loincloth,loincloth,lendenschurz,,,,taparrabos,tanga,,,,,,,
clothes,long johns,long johns,lange unterhosen,,,,long johns,johns longo,,,,,,,
clothes,long underwear,long underwear,lange unterwäsche,,,,ropa interior larga,roupa interior comprida,,,,,,,
clothes,miniskirt,miniskirt,minirock,,,,minifalda,minissaia,,,,,,,
clothes,mittens,mittens,fäustlinge,,,,mitones,luvas,,,,,,,
clothes,moccasins,moccasins,mokassins,,,,mocasines,mocassins,,,,,,,
clothes,muffler,muffler,schalldämpfer,,,,silenciador,silenciador,,,,,,,
clothes,muumuu,muumuu,muumuu,,,,muumuu,muumuu,,,,,,,
clothes,neckerchief,neckerchief,halstuch,,,,pañuelo,lenço de pescoço,,,,,,,
clothes,necklace,necklace,halskette,,,,collar,colar,,,,,,,
clothes,nightgown,nightgown,nachthemd,,,,camisón,camisa de noite,,,,,,,
clothes,nightshirt,nightshirt,nachthemd,,,,camisón,camisa de noite,,,,,,,
clothes,onesies,onesies,strampler,,,,bodies,macacões,,,,,,,
clothes,outerwear,outerwear,oberbekleidung,,,,prendas exteriores,vestuário exterior,,,,,,,
clothes,outfit,outfit,outfit,,,,atuendo,roupa,,,,,,,
clothes,overalls,overalls,latzhose,,,,monos,macacão,,,,,,,
clothes,overcoat,overcoat,mantel,,,,abrigo,sobretudo,,,,,,,
clothes,overshirt,overshirt,überhemd,,,,sobrecamisa,camisola,,,,,,,
clothes,pajamas,pajamas,pyjama,,,,pijama,pijama,,,,,,,
clothes,panama hat,panama hat,panamahut,,,,sombrero de panamá,chapéu panamá,,,,,,,
