topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,tadpole,tˈædpoʊl,kˈaʊlkvapə,kˈɪkərvˌɪsjə,tˈatpole,dʒirˈino,rˌenakwˈaxo,ʒˌiɾˈinʊ,mˌormolˈok,hˈalətʔusə,tɛtˈaʁ,kijˈaŋka,ˈɛbihɑl,jirˈinus,rˈʉmpətrˌɔl
animals,tamarin,tˈæmɚɹˌɪn,tˈɑmarˌɪn,tˈaːmaːrˌɪn,tˈamarin,tamarˈino,tˌamaɾˈin,tɐmɐɾˈiŋ,tˌamaɾˈin,tˈ?ɑmɑʁˌʔin,tamaʁˈɛ̃,tˌamarˈɨna,tˈɑmɑrin,(en)tˈaməɹˌɪn(el),tˈamarˌiːn
animals,tanager,tˈænɪdʒɚ,tˈɑnɑːɡɜ,tˈaːnaːɣər,tˈanaɡer,tanadʒˈɛr,taŋɡˈaɾa,tˌɐ̃ŋʒɨɾˈinɐ,tˌanadʒˈer,tˈanajˌʌ,tamanwˈaʁ,tanˈaɡɛr,tˈɑnɑɡɛr,(en)tˈanɪdʒə(el),tˈanaɡər
animals,tapir,tˈæpɪɹ,tˈɑpiːɾ,tˈaːpɪr,tˈapiːr,tapˈiro,tapˈiɾ,ˈɐ̃ŋtɐ,tapˈir,tapˈʔiɐ̯,tapˈiʁ,tˈapir,tˈɑpiːr,(en)tˈapiə(el),tˈapiːr
animals,tarantula,tɚɹˈæntʃələ,fˈoːɡəlspˌɪnə,vˈoːɣɛlspˌɪn,tˈarantˌule,taɾˈantola,taɾˈantula,tˌɐɾˈɐ̃ŋtulɐ,tˌaɾantˈula,tˌɑʁ?ɑntˈεl,taʁɑ̃tˈyl,tˌarantˈula,tˈɑrɑntulɑ,tˌaradˈula,tˈarɑntˌɛl
animals,tarpon,tˈɑːɹpɑːn,tˈaɾpoːn,tɑrpˈɔn,tˈarpon,tarpˈona,sˈaβalo,tɐɾəpˈɐ̃ʊ̃,tarpˈon,tˈɑpʔʌn,taʁpˈɔ̃,tˈarpɔn,tˈɑrpon,(en)tˈɑːpɒn(el),tˈɑrpuːn
animals,tarsier,tˈɑːɹsiɚ,taɾzˈiːɾ,spoːɡdˈirtʲəs,tˈarsier,tˈarsio,taɾsˈeɾo,tˈaɾəsjʊ,tarsjˈer,tˈɑsjʔʌ,taʁsjˈe,tˈarɕɛr,tˈɑrʃiɛr,(en)tˈɑːsiə(el),tˈɑrʃiːər
animals,tasmanian devil,tæzmˈeɪniən dˈɛvəl,tasmˈɑnɪʃɜ tˈɔøfəl,tˈɑsmaːnsə dˈœyvəl,tˈasmaːnskiː tʃˈert,djˈavolo dˌella tazmˈania,djˈaβlo ðe tasmˈanja,dˌiˈabʊ dɐ tˌɐʒmˈɐ̃njɐ,djˈavolul tˌasmanjˈan,tˈasmansk djˈɛʋəl,djˈabl də- tasmanˈi,djˈabɛw tasmˈaɲski,tˈɑʃmaːn ˈørdøɡ,ðiˈavolˌos tis tˌasmanˈias,tˈɑsmɑnsk djˈeːvəl
animals,tasmanian tiger,tæzmˈeɪniən tˈaɪɡɚ,tasmˈɑnɪʃɜ tˈiːɡɜ,tˈɑsmaːnsə tˈɛɪɣər,tˈasmaːnskiː tˈiɡr̩,tˈiɡre dˌella tazmˈania,tˈiɣɾe ðe tasmˈanja,tˈiɡɹɨdɐtˌɐʒmˈɐ̃njɐ,tˈiɡru tˌasmanjˈan,tˈasmansk tˈiʌ,tˈiɡʁ də- tasmanˈi,tˈɨɡrɨs tasmˈaɲski,tˈɑʃmaːn tˈiɡriʃ,tˈiɣris tis tˌasmanˈias,tˈɑsmɑnsk tˈiːɡər
animals,teratosaurus,tˌɛɹəɾəsˈɔːɹəs,tˈeːratˌoːzaʊrˌʊs,tˈɪːraːtˌoːzʌʊrˌɵs,tˈeratˌosaʊrus,teratozˈaʊro,tˌeɾatosˈaʊɾus,tˌeɾɐtˌuzaʊɾˈuʃ,tˌeɾatˌosaˈurus,tˈʔeʁɑtˌosɑwʁˌʔus,teʁatozˈɔʁ,tˌɛratˈɔzawr,tˈɛrɑtoʃɑuruʃ,(en)tˌɛɹətəsˈɔːɹəs(el),tˈeːratˌuːsaʊrˌʉːs
animals,termite,tˈɜːmaɪt,tˈɛɾmiːtən,tɛrmˈit,tˈermicˌiʃce,termˈite,teɾmˈitas,tˈɛɾəmitɐ,termˈitə,taɐ̯mˈʔit,tɛʁmˈit,tˈɛrmit,tˈɛrmɛsɛk,termˈitis,tˈarmiːt
animals,tern,tˈɜːn,tˈɛɾn,tˈɛrn,tˈern,stˈɛrno,tˈeɾn,ˌɐ̃ŋduɾˈiɲɐdʊmˈaɹ,tˈern,tˈɛɐ̯nə,tˈɛʁn,rɨbʲˈitfa,tˈɛrn,(en)tˈɜːn(el),tˈarna
animals,terrier,tˈɛɹiɚ,tɛrˈiːɾ,tˈɛɾriər,tˈerieːr,terɾiˈɛr,tˌeriˈeɾ,tˌeʁiˈɛɹ,terjˈer,tˈεɐ̯ɐ̯jʔʌ,tɛʁjˈe,tˈɛrjɛr,tˈɛriɛr,tˌeriˈe,tˈarriːər
animals,thecodontosaurus,ðəkˌoʊdɔntəsˈɔːɹəs,tˈeːkoːdˌɔntoːzˌaʊrʊs,tˈeːkoːdˌɔntoːzˌʌʊrɵs,thˈetsodˌontosˌaʊrus,ilkodontozˈaʊro,ˌelkoðˌontosˈaʊɾjo,ˌɔkudˌuŋtusˈaʊɾʊ,thˌekodˌontosaˈurus,thˈʔekʔoðˌʔʌntosˌɑwʁʔus,ləkodɔ̃tozˈɔʁ,tˌɛtsɔdˌɔntɔsˈawrus,thˈɛtsodontoʃɑuruʃ,(en)ðəkˌəʊdɒntəsˈɔːɹəs(el),thˈeːkuːdˌɔntuːsˌaʊrʉːs
animals,thescelosaurus,ðəsˌɛləsˈɔːɹəs,tˈɛskəlˌoːzaʊrˌʊs,də sˈeːloːzˌʌʊrɵs,thˈestselˌosaʊrus,ilʃelozˈaʊro,ˌelθelosˈaʊɾjo,ʃtˌesɨlusˈaʊɾʊ,thˌestʃelˌosaˈurus,thˈʔesʔelˌosɑwʁˌʔus,(en)ðəsˌɛləsˈɔːɹəs(fr),tˌɛstsɛlɔsˈawrus,thˈɛʃtsɛloʃɑuruʃ,(en)ðəsˌɛləsˈɔːɹəs(el),thˈɛskeːlˌuːsaʊrˌʉːs
animals,threetoed sloth,θɹˈiːɾoʊd slˈɑːθ,dɾˌaɪfɪŋɜfaʊltˈiːɾ,drˌivɪŋˈɪːrəɣə lˈœyaːrt,lˈenoxot tr̝̊ˈiːpr̩stiː,brˈadipo tridˈatːilo,pˌeɾeθˈoso ðe tɾˈes ðˈeðos,pɹˌeɡˈisɐ tɹˌisˈɛfɐlɐ,lˈeneʃ ku trˈeɪ pitʃˈɔaɾe,tʁˈεbʔenəð dˈɒwəndʔyɐ̯,paʁɛsˈøz a tʁwˈa pˈat,lɛɲˈivʲɛts trˌujpaltʃˈastɨ,hˈaːromujjuː lˈɑjhaːr,trˈipoðˌoz vraðˈipoðˌas,trˈeːsiːda dˈuːvənnˌyːr
animals,thresher shark,θɹˈɛʃɚ ʃˈɑːɹk,fˈʊkshaɪ,vˈɔshaːj,ʒrˈalok mlˈaːcitʃka,skwˈalo vˈolpe,tˌiβuɾˈon θˈoro,tˌubɐɾˈɐ̃ʊ̃ʁˌɐpˈozɐ,rekˈin threʃˈer,ʁˈɛʋəh?ɑj,ʁəkˈɛ̃ ʁənˈaʁ,rˈɛkin kɔsˈɔɡɔn,tʃˈikoːtsaːpɑ,kˌarxarˈias ˌalonistˈis,rˈɛːveːhˌɑɪ
animals,thrip,θɹˈɪp,tɾˈɪpzə,trˈɪps,thrˈip,ɡˈotʃːa,tɾˈips,tˌiɾˈaʒeɪŋ,tʃupˈit,(en)tɹˈɪp(da),(en)θɹˈɪp(fr),pˈɔtɔk,thrˈip,(en)θɹˈɪp(el),drˈypː
animals,tick,tˈɪk,tsˈɛkə,tˈeːk,klˈiːʃce,dzˈekːa,ɡˌarapˈata,kˌɐʁɐpˈatʊ,kəpˈuʃə,kʁˈʔys,tˈik,klˈɛʃtʃ,kˈullɑntʃ,tsibˈuri,krˈys
animals,tiger,tˈaɪɡɚ,tˈiːɡɜ,tˈɛɪɣər,cˈiɡer,tˈiɡre,tˈiɣɾe,tˈiɡɹɨ,tˈiɡru,tˈiʌ,tˈiɡʁ,tˈɨɡrɨs,tˈiɡriʃ,tˈiɣris,tˈiːɡər
animals,tiger shark,tˈaɪɡɚ ʃˈɑːɹk,tˈiːɡɜhˌaɪ,tˈɛɪɣərhˌaːj,ʒrˈalok tˈiɡr̝iː,skwˈalo tˈiɡre,tˌiβuɾˈon tˈiɣɾe,tˌubɐɾˈɐ̃ʊ̃tˈiɡɹɨ,rekˈin tˈiɡru,tˈiʌhˌ?ɑj,ʁəkˈɛ̃ tˈiɡʁ,rˈɛkin tɨɡrˈɨɕi,tˈiɡriʃtsaːpɑ,kˌarxarˈias tˈiɣris,tˈiːɡarhˌɑɪ
animals,tiger swallowtail butterfly,tˈaɪɡɚ swˈɔloʊtˌeɪl bˈʌɾɚflˌaɪ,tˈiːɡɜʃvˌalbənʃvˌantsʃmˈɛtɜlˌɪŋ,tˈɛɪɣər zʋˈaːlyʊstˌaːrt vlˈɪndər,mˈotiːl vlˈaʃtofka tˈiɡrovˌanaː,farfˈalla rˈondine tˈiɡre,mˌaɾipˈosa kˈola ðe ɣˌolondɾˈina tˈiɣɾe,bˌuɾəbulˈetɐ ʁˈabʊ dɨ ˌɐ̃ŋduɾˈiɲɐtˈiɡɹɨ,flutˈuɾe tˈiɡru ku kˈɔada de rˌɨndunˈikə,tˈiʌsʋˈaləhaləsˈʔʌmʔʌfˌʔul,papijˈɔ̃ tiɡʁˈe,mˈɔtɨl tɨɡrˈɨɕi ˈɔɡɔn,tˈiɡriʃ fˈɛtʃkɛfɑrkuː pˈillɑnɡoː,pˌetalˈuða tˈiɣris çˌeliðonˈopterˌa,tˈiːɡər svˈaleːhˌala sˈɔmmarfˌʉɡl
animals,toad,tˈoʊd,kɾˈøːtə,pˈɑt,rˈopuxa,rˈɔspo,sˈapo,sˈapʊ,brˈɔaskə tsestˈɔasə,tˈʔusə,kʁapˈo,rɔpˈuxa,vˈɑrɑnɟ,frˈinos,pˈɑdːa
animals,torosaurus,tˌɔːɹəsˈɔːɹəs,tˈoːroːzˌaʊrʊs,tˈoːroːzˌʌʊrɵs,tˈorosˌaʊrus,torozˈaʊro,tˌoɾosˈaʊɾus,tˌuɾusˈaʊɾʊ,tˌoɾosaˈurus,tˈʔoʁosˌɑwʁʔus,toʁozoʁˈys,tɔrˈɔzawr,tˈoroʃɑuruʃ,torˈosavrˌos,tˈuːruːsˌaʊrʉːs
animals,tortoise,tˈɔːɹɾəs,ʃˈɪltkɾøːtə,sxˈɪldpɑt,ʒˈelva,tartarˈuɡa,toɾtˈuɣa,tˌɐɾətɐɾˈuɡɐ,tsestˈɔasə,skˈʔelpaðə,tɔʁtˈy,ʒˈuwf,tˈɛknøːʃbeːkɑ,çelˈona,ʃˈɪlpɑdːa
animals,toucan,tˈuːkən,tuːkˈɑːn,tˌukˈɑn,tˈoʊtsan,tʊkˈano,tukˈan,tˌukˈɐ̃nʊ,tukˈan,tʔukˈan,tukˈɑ̃,tˈukan,tˈukaːn,tukˈan,tˈʉːkan
animals,trachodon,tɹˈækɑːdən,tɾˈaxoːdˌoːn,trˌɑxoːdˈɔn,trˈaxodon,tratʃˈodon,tɾatʃˈoðon,tɹˌɐkwudˈoŋtɨ,trˌahodˈon,tʁˈ?ɑʃʔoðˌʔʌn,tʁaʃodˈɔ̃,traxˈɔdɔn,trˈɑtshodon,(en)tɹˈakɒdən(el),trˈɑʃuːdˌuːn
animals,tree shrew,tɹˈiː ʃɹˈuː,ʃpˈɪtshœɾnçən,bˈoːmspɪtsmˌœys,strˈomoviː kr̝̊ˈovinˌor̝es,toporˈaɲɲo,mˌusaɾˈaɲa aɾβˈoɾea,mˌuzɐɾˈɐ̃ɲʊdɐzˈaɾəvuɾɨʃ,ʃˈɔaɾetʃˌe de kopˈak,tʁˈ?aspʔesmˌʔus,myzaʁˈɛɲ aʁboʁikˈɔl,rɨjˈufka dʒˈɛvna,fˈɑ tsˈitskaːɲ,ðˌedroɣaʎˈa,trˈeːspˈɪssmʉːs
animals,tree sparrow,tɹˈiː spˈæɹoʊ,fˈɛltspɜlˌɪŋ,bˈoːmɵs,vrˈabets strˈomoviː,pˈassero arborˈikolo,ɡˌoriˈon mˌolinˈeɾo,pɐɾədˈɑl dɐz ˈaɾəvuɾɨʃ,vrˈabje de kopˈak,skˈɔwspʔuɐ̯ʋ,bʁyˈɑ̃ de-z ˈaʁbʁ,vrˈubɛl,fˈɑkopaːntʃ,spurjˈiti,ɡrˈɔspʉrv
animals,treefrog,tɹˈiːfɹɑːɡ,lˈaʊpfrɔʃ,bˈoːmkɪkər,trˈeefrok,raɡanˈɛlla,rˈana ˌaɾβoɾˈikola,ʁˈɐ̃dɐzˈaɾəvuɾɨʃ,brˈɔaskə de kopˈak,lˈʔœwfʁʔœ,ʁɛnˈɛt,ʒˈaba dʒˈɛvna,trˈɛɛfroɡ,(en)tɹˈiːfɹɒɡ(el),trˈɛfrɔsk
animals,triceratops,tɹaɪsˈɛɹətˌɑːps,tɾˈiːkeːrˌɑtɔps,trˈisɪːrˌaːtɔps,trˈitserˌatops,tritʃeratˈopo,tɾˌiθeɾatˈops,tɹˌisɨɾɐtˈopʃ,trˌitʃeɾatˈops,tʁˈisʔeʁˌɑtʔʌps,tʁiseʁatˈɔp,trˌitsɛrˈatɔps,trˈitsɛrɑtopʃ,(en)tɹaɪsˈɛɹətˌɒps(el),trˈiːkeːrˌatɔps
animals,trilobite,tɹˈaɪləbˌaɪt,tɾˌiːloːbˈɪt,trˌiloːbˈit,trˈilobit,trilobˈite,tɾˌiloβˈite,tɹˌilubˈitɨ,trˌilobˈitə,tʁˈʔilʔobˌʔit,tʁilobˈit,trɨlˈɔbʲit,trˈilobitɑ,trˌilovˈitis,trˈiːluːbˌɪtː
animals,troodon,tɹˈuːdɑːn,tɾˈoːdoːn,troːdˈɔn,trˈoodon,troodˈonte,tɾoˈoðon,tɹˌuudˈoŋtɨ,trˌoodˈon,tʁˈuːðʔʌn,tʁɔodˈɔ̃,trɔˈɔdɔn,trˈoodon,(en)tɹˈuːdɒn(el),trˈuːuːdˌuːn
animals,trout,tɹˈaʊt,foːrˈɛlə,foːrˈɛl,pstrˈux,trˈɔta,tɾˈutʃa,tɹˈutɐ,pˈəstrəv,ˈʔœɐ̯əð,tʁyˈit,pstrˈɔŋk,pˈistraːnɡ,pˈestrofˌa,ˈœrrət
animals,trumpeter swan,tɹˈʌmpɛɾɚ swˈɑːn,tɾˌɔmpeːtɜʃvˈɑːn,trˌɔmpɛtərzʋˈaːn,lˈabuc trˈubatʃ,tʃˈiɲɲo trombetːiˈɛre,θˈisne tɾˌompetˈeɾo,sˈiʒnɨ tɹˌumbɨtˈeɪɾʊ,lˈebədˌə trompˈetə,tʁʔompˈʔetʔʌsʋˌanə,sˈiɲ tʁɔ̃pˈɛt,wˈabɛɲtɕ trˈɛmbatʃ,trˈombitaːʃ hˈɑcːuː,cˈiknos trobˈeta,trˈɔmpeːtˌarʃvana
animals,tsetse fly,tsˈɛtsi flˈaɪ,tzˈɛtzɛflˌiːɡə,tsˌeːtseːvlˈix,mˈoʊxa tsˈetsˈe,mˈoska tsˈetsˈe,mˈoska tˈesetsˈe,mˈoʃkɐ tsˈɛtsˈɛ,mˈuska tsˈetse,tsˈʔetsʔeflˌuː,mˈuʃ tsˈetsˈe,mˈuxa tsˈɛtsɛ,tsˈɛtsɛleːɟ,mˈiɣa tsetsˈe,tsˈɛtsəflˌʉːa
animals,tuatara,tˌuːɐtˈɑːɹɹə,tˈuːatˌɑrɑː,tˌyaːtˈaːraː,tˈuatˌara,tʊatˈaɾa,twatˈaɾa,tˌuɐtˈaɾɐ,twatˈaɾa,tˈʔuatˌɑʁɑ,tyataʁˈa,tˌuatˈara,tˈuɑtɑrɑ,(en)tjˌuːɐtˈɑːɹə(el),tˈʉːatˌarɑ
animals,tuna,tˈuːnə,tˈʊnfɪʃ,toːnˈɛɪn,tˈuɲaːk,tˈonno,atˈun,ɐtˈũŋ,tˈon,tˈʔunfʔesk,tˈɔ̃,tˈuɲtʃɨk,tˈonhɑl,tˈonos,tˈʉnfɪsk
animals,tundra wolf,tˈʌndɹə wˈʊlf,tˈʊndɾavˌɔlf,tˈundrˌaːʋɔlf,vˈeːˌelkˌaː tˈundroviː,lˈupo dˌella tˈundra,lˈoβo ðe tˈundɾa,lˈobʊ dɐ tˈũŋdɹɐ,lˈup de tˈundrə,tˈɒnʁɑˈʔulʋ,lˈu də- la- (en)tˈaʊndɹə(fr),vˈilk tundrˈɔvɨ,tˈundrɑi fˈɑrkɑʃ,lˈikos tis tˈunðras,tˈʉnnraʊlv
animals,turkey,tˈɜːki,tɾˈʊtɑːn,kɑlkˈun,krˈotsan,takːˈino,pˈaβo,pɨɾˈu,kurkˈan,kalkˈun,dˈɛ̃d,ˈindɨk,pˈujkɑ,turcˈia,kˈɑlkʉːn
animals,turtle,tˈɜːɾəl,ʃˈɪltkɾøːtə,sxˈɪldpɑt,ʒˈelva,tartarˈuɡa,toɾtˈuɣa,tˌɐɾətɐɾˈuɡɐ,tsestˈɔasə,skˈʔelpaðə,tɔʁtˈy,ʒˈuwf,tˈɛknøːʃ,çelˈona,ʃˈɪlpɑdːa
animals,tyrannosaurus rex,tˌɪɹɐnəsˈɔːɹəs ɹˈɛks,tˈyːranˌoːzaʊrˌʊs rˈɛks,tˈirɑnˌoːzʌʊrˌɵs rˈɛks,tˈiranˌosaʊrus rˈeks,tirannozˈaʊro rˈɛks,tˌiɾanosˈaʊɾjo rˈeks,tˌiɾɐnusˈaʊɾʊ ʁˈɛks,tˌirannˌosaˈurus rˈeks,tʔyʁˈ?ɑnnosˌɑwʁʔus ʁˈεɡs,tiʁanozˈɔʁ ʁˈɛks,tˌɨranˈɔzawr rˈɛks,crˈɑnnoʃɑuruʃ rˈɛks,tˌiranˈosavrˌos (en)ɹˈɛks(el),tˈyːrɑnnˌuːsaʊrˌʉːs rˈeːks
animals,ultrasaurus,ˌʊltɹɐsˈɔːɹəs,ˌʊltɾazˈaʊrʊs,ˈɵltraːzˌʌʊrɵs,ˈultrasˌaʊrus,ʊltrazˈaʊro,ˌultɾasˈaʊɾus,ˌuwtɹɐzaʊɾˈuʃ,ˌultrasaˈurus,ˈʔultʁɑsˌɑwʁʔus,yltʁasˈɔʁ,ˌultrasˈawrus,ˈultrɑʃɑuruʃ,(en)ˌʊltɹɐsˈɔːɹəs(el),ˈʉltrasˌaʊrʉːs
animals,ulysses butterfly,jˈuːlɪsˌiːz bˈʌɾɚflˌaɪ,ˈuːlʏsəsʃmˈɛtɜlˌɪŋ,ˈoːdɪsˌøːs vlˈɪndər,mˈotiːl ˈodisseʊs,farfˈalla dɪ ʊlˈisse,mˌaɾipˈosa ulˈises,ˌulˈisɨʒ bˌuɾəbulˈetɐ,ˌulisˈes flutˈuɾe,ulˈʔysəs sˈʔʌmʔʌfˌʔul,papijˈɔ̃ dylˈis,mˈɔtɨl ulˈɨssɛs,ˈulyssɛus pˈillɑnɡoː,pˌetalˈuða tu ˌoðissˈea,ˈʉːlyssəs sˈɔmmarfˌʉɡl
animals,umbrellabird,ˈʌmbɹɪlˌæbɜːd,ʃˈɪɾmfoːɡəl,pˌaːrɑplˌyvoːɣˈɛl,ˈumbrelˌabirt,ombrellˈino,pˈaxaɾo paɾˈaɣwas,pˈasɐɾʊɡwˈaɾədɐʃˈuvɐ,ˌumbrelabˈird,pˌɑʁ?ɑplˈʔyfʔul,wazˈo paʁaplyˈi,pˌarasˈɔlka,ˈɛrɲøːmɑdaːr,ˌobrelopˈuli,pˈarɑplˌyːfʉɡl
animals,ungulates,ˈʌŋɡjʊlˌeɪts,hʊftˈiːrə,huvdˈirən,kˈopitɲˌiːtsi,ʊŋɡʊlˈatɪ,ˌuŋɡulˈaðos,ˌũŋɡulˈadʊʃ,ˌuŋɡulˈate,hˈɔwdʔyɐ̯,ɔ̃ɡylˈe,kɔpˈɨtnɛ,pˈɑtaːʃ ˈaːllɑtok,ˌoplifˈora,hˈɔvdyːr
animals,uniramians,jˌuːnɪɹˈeɪmiənz,ˌuːniːrˌɑmiːˈɑːns,ˈynirˌaːmiˌɑns,ˈunirˌamians,ʊniramjˈanɪ,ˌuniɾamjˈanos,ˌuniɾɐmiˈɐ̃nʊʃ,ˌuniɾamjˈanʲʲ,ˈʔunʔiʁˌ?ɑmʔiˌans,yniʁamjˈɛ̃,ˌuɲirˈamjans,ˈunirɑmiɑnʃ,(en)jˌuːnɪɹˈeɪmiənz(el),ˈʉːniːrˌamiːˌaneːra
animals,urchin,ˈɜːtʃɪn,zˈeːɪɡəl,zˈeːeːɣˈɛl,jˈeʒek,rˈitʃːo,eɾˈiθo,ˌuwɾˈisʊ,aɾˈitʃʲ,sˈœpʔensʋˌʔin,uʁsˈɛ̃,jɛʒˈɔvʲɛts,ʃˈyn,ˌaçinˈos,krˈoːkeːbˌɔllər
animals,utahraptor,jˈuːɾɑːɹˌæptɚ,ˌuːtɑːrˈaptoːɾ,ˈytɑhrˌɑptɔr,ˈutahrˌaptor,ʊtaraptˈɔr,ˌutaɾapːtˈoɾ,ˌutɐɹɐptˈoɹ,ˌutahraptˈor,jˈuːtɑʁˌ?ɑptʔʌ,ytaʁaptˈɔʁ,ˌutaxrˈaptɔr,ˈutɑhrɑptor,(en)jˈuːtɑːɹˌaptə(el),ˈʉːtɑhrˌɑptuːr
animals,valley quail,vˈæli kwˈeɪl,tˈalvaxtəl,vˈɑlɛɪ kʋˈɑrtəl,kr̝̊ˈepelka v ˈuːdoliː,kwˈaʎa dˌella vˈalle,kˌoðoɾnˈiθ ðel βˈaʎe,kˌuduɾənˈiʒ dʊ vˈalɨ,prepˈelitsˌə de vˈale,ʋˈ?ɑɡtəl i dˈalən,kˈaj de- valˈe,pʃɛpʲˈurka dˌɔlinˈɔva,vˈølɟi fˈyrj,cilˈaða ortˈica,dˈaləns vˈɑktəl
animals,vampire bat,vˈæmpaɪɚ bˈæt,vˈampiːɾflˈeːdɜmˌaʊs,vˈɑmpirvlˌɪːrmœys,ˈupiːr̝iː nˈetopiːr,pipistrˈɛllo vampˈiro,muɾθjˈelaɣo βampˈiɾo,mˌuɾəsˈeɡʊ vˌɐ̃mpˈiɾʊ,liljˈak vampˈir,ʋ?ɑmpˈyɐ̯flajˌʌmʔus,ʃˈovsuʁˈi vɑ̃pˈiʁ,ɲʲɛtˈɔpɛʒ vˈampir,vˈaːmpiːr dˈɛnɛveːr,nˌixterˈiða vabˈir,vˈɑmpyrflˌɑɡːarmˌʉːs
animals,veiled chameleon,vˈeɪld kəmˈiːliən,ʃlˌaɪɜçˌɑmɛːleːˈoːn,ɣəslˈœyərdə kˌaːmələˈɔn,zˈahalˌeniː xˈamelˌeon,kamaleˈonte velˈato,kˌamaleˈom belˈaðo,kɐmˌɐliˈɐ̃ʊ̃ vˌelˈadʊ,kˌamelˈeon vɔalˈat,tˈʔelslœˌʔʌt kˌamɛləˈʔon,kameleˈɔ̃ vwalˈe,zˌavɔˌalɔvˈanɨ kˌamɛlˈɛɔn,fˈaːcoloʃ kˈɑmeːlɛon,sˌiŋɡekˌalimˈenos xˌamelˈeodˌas,tˈɪlʃlœrt kˈameːlˌeːuːn
animals,velociraptor,vəlˈɑːsɚɹˌæptɚ,vˌeːloːkiːrˈaptoːɾ,vˈeːloːsˌirɑptˌɔr,vˈelotsˌiraptor,velotʃiraptˈɔr,bˌeloθˌiɾapːtˈoɾ,vˌɨlusˌiɾɐptˈoɹ,vˌelotʃˌiɾaptˈor,ʋˈεlosˌʔiʁ?ɑptˌʔʌ,velosiʁaptˈɔʁ,vˌɛlɔtɕirˈaptɔr,vˈɛlotsirɑptor,(en)vəlˈɒsəɹˌaptə(el),vˈeːluːsˌiːrɑptˌuːr
animals,venomous animals,vˈɛnəməs ˈænɪməlz,ɡɪftˈiːrə,ɣˈɪftəɣə dˈirən,jˈedovˌataː zvˈiːr̝ata,animˈalɪ velenˈɔzɪ,ˌanimˈales βˌenenˈosos,ɐnimˈaɪʒ vˌenɨnˈozʊʃ,ˌanimˈale vˌeninˈɔase,ɡˈʔiftˌʔiə dˈʔyɐ̯,animˈo vənimˈø,jˌadɔvˈitɛ zvʲɛʒˈɛnta,mˈeːrɡɛzøː ˈaːllɑtok,ðˌilitˌiriˈoði zˈoa,jˈɪftiːɡa dˈyːr
animals,vertebrates,vˈɜːɾɪbɹˌeɪts,vˌɪɾbəltˈiːrə,ɣəʋˈɛrvəldə dˈirən,ˈobratlˌoftsi,vertebrˈatɪ,bˌeɾteβɾˈaðos,vˌeɾətɨbɹˈadʊʃ,vˌertebrˈate,ʋˈʔiɐ̯ʋəldʔyɐ̯,vɛʁtebʁˈe,krɛŋɡˈɔftsɛ,ɡˈɛrintsɛʃɛk,spˌonðilotˈa,vˈɪrvəllˌyːr
animals,viceroy butterfly,vˈaɪsɹɔɪ bˈʌɾɚflˌaɪ,fˈiːtseːkˌøːnɪçfˈaltɜfˌɪʃ,ˈɔndərkˌoːnɪŋ vlˈɪndər,mˈotiːl vˈitserˌoi,farfˈalla vitʃerˈe,mˌaɾipˈosa βirˈeɪ,bˌuɾəbulˈetɐ vˌisɨɾˈɔɪ,flutˈuɾe vˌitʃeɾˈoi,ʋisɐ̯ˈʌj sˈʔʌmʔʌfˌʔul,papijˈɔ̃ dy- vˈisʁwˈa,mˈɔtɨl vitsɛkrˈula,vˈitsɛroi pˈillɑnɡoː,pˌetalˈuða (en)vˈaɪsɹɔɪ(el),vˈiːkeːrˌuːyː sˈɔmmarfˌʉɡl
animals,vinegarroon,vˌɪnᵻɡɐɹˈuːn,ˈɛsɪɡɾˌoːn,ˌaːzɛɪnrˈoːs,ˈotsetrˌoon,atʃetozˈɛlla,bˌineɣarˈoon,vˌinɐɡɹɨɾˈʊn,ˌotsetroˈon,ˈεdkəkʁ?ɑns,vinɛɡʁiˈe,vˌinɛɡarˈɔɔn,vˈinɛɡɑroon,(en)vˌɪnɪɡɐɹˈuːn(el),ˈɛdːɪkrˌuːn
animals,viper,vˈaɪpɚ,vˈiːpɜ,ˈɑdər,vˈiper,vˈipera,bˈiβoɾa,vˈibuɾɐ,vˈipeɾˌə,hˈɒɡoɐ̯m,vipˈɛʁ,ʒmˈija,vˈipɛrɑ,oçˈa,hˈʉɡːɔrm
animals,virginia opossum,vɜːdʒˈɪniə əpˈɑːsəm,vˈɪɾɡiːnˌiːɑːˈoːpɔsˌʊm,vˈɪrɣinˌiaː ˈɔpˌɔsɵm,vˈirɡinˌia ˈopossum,opˈɔssʊm dˌella virdʒˈinia,θˌaɾiɣuˈeʝa ðe βiɾxˈinja,ɡɐ̃mbˈa dɐ vˌiɾəʒˈinjɐ,ˌoposˈum din virdʒˈinja,ʋədʒˈiŋja ʔopˈʔʌsɒm,opɔsˈɔm də- viʁʒinˈi,ˈɔpɔz vˌirɡʲiɲˈijski,vˈirɡiniɑi ˈopossum,opˈosum tiz virdzˈiɲa,vˈɪrjiːnˌiːɑ ˈuːpɔssˌʉːm
